epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.08632139518747761,0.5234856043566198,0.0013526213273674988,32,0.3725762698385401
2,0.07973167618095475,0.5324546129084786,0.0013526213273674988,32,0.3725762698385401
3,0.16959644704814839,0.2213965249342664,0.0013526213273674988,32,0.3725762698385401
4,0.19757514271328322,0.22139649507937334,0.0013526213273674988,32,0.3725762698385401
5,0.19765481596304815,0.22139649507937334,0.0013526213273674988,32,0.3725762698385401
6,0.197588878516291,0.22139649507937334,0.0013526213273674988,32,0.3725762698385401
7,0.1975551168633984,0.2213964801519491,0.0006763106636837494,32,0.3725762698385401
8,0.19823219220691746,0.22242152625326062,0.0006763106636837494,32,0.3725762698385401
9,0.19816699192079423,0.2224216376942166,0.0006763106636837494,32,0.3725762698385401
10,0.19817412456545816,0.22242151033318344,0.0006763106636837494,32,0.3725762698385401
11,0.1981737840934772,0.22242152625326062,0.0003381553318418747,32,0.3725762698385401
12,0.19910088748476779,0.2208963350758474,0.0003381553318418747,32,0.3725762698385401
