epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.14974540842124698,0.3679724578212194,0.0003622773848518542,80,0.32258691726115885
2,0.0871231489378348,0.5116396511522658,0.0003622773848518542,80,0.32258691726115885
3,0.08654588997270225,0.4897964608283097,0.0003622773848518542,80,0.32258691726115885
4,0.06571101847471537,0.45309024806119064,0.0003622773848518542,80,0.32258691726115885
5,0.08162652180423836,0.4291362800623009,0.0001811386924259271,80,0.32258691726115885
6,0.08774057978734814,0.35313652659103023,0.0001811386924259271,80,0.32258691726115885
7,0.10319999918533444,0.3588108098028321,0.0001811386924259271,80,0.32258691726115885
8,0.0852298840651075,0.4198915376656996,0.0001811386924259271,80,0.32258691726115885
9,0.09505775919492614,0.4509934240357,0.0001811386924259271,80,0.32258691726115885
10,0.09848313568297747,0.4053633287430455,9.056934621296355e-05,80,0.32258691726115885
11,0.10270413714056792,0.36631009763573136,9.056934621296355e-05,80,0.32258691726115885
