epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.28908336490757075,0.4839374963449336,0.0016104845315962658,32,0.18485239131409445
2,0.3524136555026597,0.43403732301806874,0.0016104845315962658,32,0.18485239131409445
3,0.20352207351133705,0.5240799508899143,0.0016104845315962658,32,0.18485239131409445
4,0.2665065814382095,0.41585152276974147,0.0016104845315962658,32,0.18485239131409445
5,0.24579743368431733,0.3861413460063668,0.0016104845315962658,32,0.18485239131409445
6,,,0.0016104845315962658,32,0.18485239131409445
7,,,0.0016104845315962658,32,0.18485239131409445
8,,,0.0016104845315962658,32,0.18485239131409445
9,,,0.0008052422657981329,32,0.18485239131409445
10,,,0.0008052422657981329,32,0.18485239131409445
