epoch,train_rmse,val_rmse
1,0.13681684721514512,0.06381790544757626
2,0.04764785505782604,0.0603206347928292
3,0.04498784867857233,0.056775929848995654
4,0.044475138708302005,0.055552325808191444
5,0.04461009201733292,0.053407457877307225
6,0.04588636935658284,0.050380839601463646
7,0.046905572811599856,0.04708925096049122
8,0.04762928086369578,0.044784733935030574
9,0.04843831820966395,0.04284083288974826
10,0.04902721216440917,0.04072845108563205
11,0.04943440093142645,0.03947761531788916
12,0.04960730698530721,0.03819931475540359
13,0.04976771116803825,0.036989993685901654
14,0.04981071321736792,0.03604110698689465
15,0.04977942968857146,0.03471665896696434
16,0.04948412456544265,0.033986841693969205
17,0.04906438198603982,0.03278784177513376
18,0.04876521813136099,0.03217070284243218
19,0.04804453897148444,0.03173489109112756
20,0.04703651787522693,0.03142178048431376
21,0.048628812661188486,0.030977064683783948
22,0.05385972298023808,0.03059109794020364
23,0.05389852654701261,0.030414825855891503
24,0.054236441467195674,0.030450844213146897
25,0.054083203148109195,0.030717385378611437
26,0.05368586027876159,0.031093737746833484
27,0.05445320754018693,0.03170808664813518
