epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.1327665579002338,0.5309023132874561,0.00037536609587588495,96,0.2653556489763479
2,0.2353598363153073,0.49048192051608835,0.00037536609587588495,96,0.2653556489763479
3,0.07234498767909393,0.5112437385653034,0.00037536609587588495,96,0.2653556489763479
4,0.1257611172207307,0.44104483703659014,0.00037536609587588495,96,0.2653556489763479
5,0.11524446811040355,0.40704974270639294,0.00037536609587588495,96,0.2653556489763479
6,0.0751521673273912,0.448729745795104,0.00037536609587588495,96,0.2653556489763479
7,0.06360358624490389,0.48210324439945207,0.00037536609587588495,96,0.2653556489763479
8,0.0788879504806537,0.4490797619366519,0.00037536609587588495,96,0.2653556489763479
9,0.0924074579458969,0.4296338804939468,0.00018768304793794247,96,0.2653556489763479
10,0.05428499463285898,0.5037630457153497,0.00018768304793794247,96,0.2653556489763479
